pooling,w_hsil,w_lsil,w_nilm,weights,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_hsil_recall,std_hsil_recall
mean,3.0,2.0,1.0,"[3.0, 2.0, 1.0]",0.8044289044289045,0.04424190842225237,0.742456435994661,0.05380994231249961,0.6668421052631579,0.08031447884700102
mean,2.0,2.0,1.0,"[2.0, 2.0, 1.0]",0.8043822843822845,0.037581194259849085,0.7382995468716709,0.05032621427466038,0.5957894736842106,0.07121035126597691
mean,3.0,2.5,1.0,"[3.0, 2.5, 1.0]",0.7953379953379953,0.05090857859830856,0.7379875061399335,0.061598281941831826,0.6468421052631579,0.09861084992530837
mean,2.0,1.5,1.0,"[2.0, 1.5, 1.0]",0.8043822843822845,0.03354810429367178,0.7367497411749911,0.048405992160211846,0.6263157894736843,0.08066551436491454
mean,3.0,3.0,1.0,"[3.0, 3.0, 1.0]",0.783076923076923,0.04892209155710834,0.7273839172015439,0.056526757502938424,0.6163157894736843,0.08621624555285341
mean,4.0,2.5,1.0,"[4.0, 2.5, 1.0]",0.7769696969696971,0.04170720150013873,0.7244860595699151,0.04930528592519031,0.6668421052631579,0.08031447884700102
mean,4.0,3.0,1.0,"[4.0, 3.0, 1.0]",0.7709090909090909,0.05091186583623875,0.722413865754613,0.061135114015288365,0.6568421052631579,0.08477769528436435
mean,5.0,3.0,1.0,"[5.0, 3.0, 1.0]",0.7677855477855478,0.04374749262581693,0.7215983331191367,0.052450503635774845,0.6868421052631579,0.09683352364723208
mean,2.0,2.5,1.0,"[2.0, 2.5, 1.0]",0.7829836829836829,0.028888633927853135,0.7163526792167582,0.03443562917955769,0.5352631578947368,0.05826674738146545
mean,3.0,1.5,1.0,"[3.0, 1.5, 1.0]",0.7921212121212121,0.03912152538789312,0.7124055072411802,0.05546239868430392,0.6973684210526316,0.09881570187115044
mean,2.0,1.0,1.0,"[2.0, 1.0, 1.0]",0.7951048951048951,0.024952832853187494,0.7119219697156901,0.04202410072346008,0.6668421052631579,0.09721324761813781
mean,4.0,2.0,1.0,"[4.0, 2.0, 1.0]",0.776876456876457,0.041196771709345166,0.7081223739053748,0.0569790207961501,0.6973684210526316,0.09881570187115044
mean,4.0,1.5,1.0,"[4.0, 1.5, 1.0]",0.7829370629370629,0.04746516052991158,0.7069557456938191,0.07115490106527032,0.7673684210526316,0.05227775807090114
mean,5.0,2.0,1.0,"[5.0, 2.0, 1.0]",0.7737995337995338,0.04839008131396347,0.7024414609738764,0.07200632829908282,0.7473684210526316,0.08383138333002106
mean,2.0,3.0,1.0,"[2.0, 3.0, 1.0]",0.7677389277389277,0.028388737553939124,0.7011211694527927,0.030257468538756514,0.49526315789473685,0.06013373830051197
mean,5.0,2.5,1.0,"[5.0, 2.5, 1.0]",0.7616317016317016,0.03846410954181009,0.7006839215062854,0.046921818782046806,0.6973684210526316,0.09881570187115044
mean,3.0,1.0,1.0,"[3.0, 1.0, 1.0]",0.7921212121212121,0.03912152538789312,0.6990672551930138,0.06162493423457965,0.7573684210526317,0.04980293575656258
mean,7.0,3.0,1.0,"[7.0, 3.0, 1.0]",0.7494172494172494,0.05926689746344716,0.6914630794457772,0.07166736406003929,0.7473684210526316,0.08383138333002106
mean,5.0,1.5,1.0,"[5.0, 1.5, 1.0]",0.7707226107226107,0.04381753675150548,0.6885174610821851,0.06906049302961145,0.7878947368421052,0.03708939563673235
mean,7.0,2.5,1.0,"[7.0, 2.5, 1.0]",0.7555710955710955,0.05940711157284691,0.6877075970604121,0.07963474499722233,0.7778947368421052,0.05033406406739046
mean,5.0,1.0,1.0,"[5.0, 1.0, 1.0]",0.7828904428904429,0.03411033057046706,0.682821183432629,0.06925558931523834,0.8689473684210526,0.03925906568204529
mean,4.0,1.0,1.0,"[4.0, 1.0, 1.0]",0.7767832167832168,0.04387057857480116,0.6749129911797344,0.0787180138640933,0.8178947368421052,0.026494132523480436
mean,7.0,1.0,1.0,"[7.0, 1.0, 1.0]",0.7707226107226108,0.04608211798178847,0.671134168213594,0.07687075216903107,0.8894736842105264,0.05777499578973721
mean,7.0,1.5,1.0,"[7.0, 1.5, 1.0]",0.7645687645687647,0.04689059028705777,0.6662390372073392,0.07588748931552763,0.8589473684210527,0.03633485388230148
mean,7.0,2.0,1.0,"[7.0, 2.0, 1.0]",0.7554312354312355,0.062335970986102975,0.6645480335664494,0.09511770922378729,0.8084210526315789,0.0477876187908049
max,2.0,2.0,1.0,"[2.0, 2.0, 1.0]",0.6789277389277389,0.023292114332431006,0.6392157816487104,0.031101359840580916,0.5663157894736841,0.07787695387339143
max,3.0,3.0,1.0,"[3.0, 3.0, 1.0]",0.6698368298368298,0.03310633910653187,0.6325491149820437,0.04002631420654882,0.5663157894736841,0.07787695387339143
max,2.0,1.5,1.0,"[2.0, 1.5, 1.0]",0.7247552447552448,0.027390378393781025,0.6275965636960706,0.049818169411325504,0.95,0.05477225575051661
max,2.0,1.0,1.0,"[2.0, 1.0, 1.0]",0.7491841491841492,0.02871431575724961,0.6262217683763188,0.04802985237939901,0.96,0.03741657386773941
max,5.0,1.0,1.0,"[5.0, 1.0, 1.0]",0.7370163170163171,0.04231713727113431,0.6181270546197586,0.057819085621455484,0.96,0.03741657386773941
max,4.0,1.0,1.0,"[4.0, 1.0, 1.0]",0.7370163170163171,0.04231713727113431,0.6181270546197586,0.057819085621455484,0.96,0.03741657386773941
max,3.0,1.0,1.0,"[3.0, 1.0, 1.0]",0.7370163170163171,0.04231713727113431,0.6181270546197586,0.057819085621455484,0.96,0.03741657386773941
max,4.0,3.0,1.0,"[4.0, 3.0, 1.0]",0.7064801864801865,0.04207582535691949,0.6136231333783362,0.06189413710658974,0.95,0.05477225575051661
max,3.0,2.5,1.0,"[3.0, 2.5, 1.0]",0.7004662004662005,0.050612711739429835,0.6123398040372323,0.07120303345234844,0.9199999999999999,0.060000000000000005
max,7.0,1.0,1.0,"[7.0, 1.0, 1.0]",0.737062937062937,0.048188082272904637,0.609047310795171,0.08032158774066296,0.97,0.039999999999999994
max,7.0,1.5,1.0,"[7.0, 1.5, 1.0]",0.7095571095571096,0.03913668919021319,0.607980858803921,0.056164205828445134,0.96,0.03741657386773941
max,4.0,1.5,1.0,"[4.0, 1.5, 1.0]",0.7095571095571096,0.03913668919021319,0.607980858803921,0.056164205828445134,0.96,0.03741657386773941
max,3.0,1.5,1.0,"[3.0, 1.5, 1.0]",0.7095571095571096,0.03913668919021319,0.607980858803921,0.056164205828445134,0.96,0.03741657386773941
max,5.0,1.5,1.0,"[5.0, 1.5, 1.0]",0.7095571095571096,0.03913668919021319,0.607980858803921,0.056164205828445134,0.96,0.03741657386773941
max,4.0,2.5,1.0,"[4.0, 2.5, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,5.0,2.0,1.0,"[5.0, 2.0, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,4.0,2.0,1.0,"[4.0, 2.0, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,5.0,3.0,1.0,"[5.0, 3.0, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,7.0,2.0,1.0,"[7.0, 2.0, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,7.0,2.5,1.0,"[7.0, 2.5, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,5.0,2.5,1.0,"[5.0, 2.5, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,7.0,3.0,1.0,"[7.0, 3.0, 1.0]",0.7034498834498835,0.03986556486481203,0.6030990582427183,0.05743338960757835,0.96,0.03741657386773941
max,3.0,2.0,1.0,"[3.0, 2.0, 1.0]",0.7034498834498835,0.03986556486481203,0.602781597925258,0.05765268333301794,0.96,0.03741657386773941
max,2.0,2.5,1.0,"[2.0, 2.5, 1.0]",0.6207459207459208,0.02108958175869006,0.5655976555256557,0.01859594727695525,0.30315789473684207,0.055135190184453876
max,2.0,3.0,1.0,"[2.0, 3.0, 1.0]",0.6176689976689976,0.02655149792469306,0.5625311722592675,0.025304519424221756,0.2926315789473684,0.056720142059373015
