Model,Best_Params,Dataset,Accuracy,Precision,Recall,F1
SVM,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",Validation,0.6703296703296703,0.6031416031416031,0.6312724014336918,0.6097838109602814
SVM,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",Test,0.7395833333333334,0.7170677361853833,0.7191865778822301,0.7168080608406776
NeuralNet,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 500}",Validation,0.7032967032967034,0.673015873015873,0.6807048984468339,0.6751078863754921
NeuralNet,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64, 32), 'learning_rate_init': 0.001, 'max_iter': 500}",Test,0.8229166666666666,0.8164518685352018,0.8293946120033077,0.8197736748064325
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",Validation,0.7692307692307693,0.7507267441860465,0.7407407407407408,0.730259671436142
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",Test,0.7916666666666666,0.77593430534607,0.7804326065195631,0.776894169248294
XGBoost,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",Validation,0.7582417582417582,0.7300827827143617,0.7175925925925926,0.6957176354436628
XGBoost,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",Test,0.84375,0.8272838272838272,0.8262284023153589,0.825925925925926
LightGBM,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",Validation,0.8021978021978022,0.7859656683186095,0.7777777777777778,0.7720501873026778
LightGBM,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",Test,0.8645833333333334,0.8541325114215139,0.8552139095617357,0.8536708171735728
