architecture,lr,batch_size,epochs,mean_accuracy,std_accuracy,mean_f1,std_f1
resnet18,0.001,16,20,87.76247848537005,4.2813899771802575,0.7923255789919794,0.07743071338980886
resnet18,0.001,32,20,90.16924842226047,3.516105810425902,0.8236235381958545,0.09317014197290503
resnet18,0.0001,16,20,93.03212851405624,3.098935313430342,0.8767261598786538,0.0660623073071608
resnet18,0.0001,32,20,91.8387837062536,2.230301545576012,0.8489772074340378,0.052842848587812255
vgg16,0.001,16,20,91.36833046471601,1.3936993580962957,0.8385744362126925,0.03068871773520471
vgg16,0.001,32,20,90.17211703958692,2.96500986252903,0.822619259887795,0.053519313054693006
vgg16,0.0001,16,20,91.60642570281125,2.1526177815003793,0.846790265808183,0.04307378626800963
vgg16,0.0001,32,20,91.12736660929434,2.9940670289954077,0.8399887715062343,0.0528992048331254
custom_cnn,0.001,16,20,72.40390131956397,3.3616474469035427,0.6382103160992265,0.01619388611184857
custom_cnn,0.001,32,20,80.32128514056225,7.007228329425248,0.7412931662978782,0.08413825431301314
custom_cnn,0.0001,16,20,86.33677567412506,2.874715262803852,0.766189256579447,0.07757710443253847
custom_cnn,0.0001,32,20,86.57200229489385,2.9550434520025393,0.787052918310071,0.053510938426324775
